x_exp,data_obs,err_obs,I_standard,I_DVCH_best
-1.666666666666666297e-01,1.199387670568771824e+00,1.000000000000000021e-02,1.199999999999995737e+00,1.198626239999995846e+00
-1.565656565656565191e-01,1.190443617442999757e+00,1.000000000000000021e-02,1.199999999999995959e+00,1.198626239999996068e+00
-1.464646464646464086e-01,1.191876678620874985e+00,1.000000000000000021e-02,1.199999999999996403e+00,1.198626239999996512e+00
-1.363636363636363535e-01,1.209446946302201731e+00,1.000000000000000021e-02,1.199999999999997069e+00,1.198626239999997178e+00
-1.262626262626262430e-01,1.173140808521125678e+00,1.000000000000000021e-02,1.199999999999997513e+00,1.198626239999997622e+00
-1.161616161616161325e-01,1.206968629505488444e+00,1.000000000000000021e-02,1.199999999999997735e+00,1.198626239999997845e+00
-1.060606060606060219e-01,1.202074683283327783e+00,1.000000000000000021e-02,1.199999999999998179e+00,1.198626239999998289e+00
-9.595959595959591137e-02,1.228740834572869423e+00,1.000000000000000021e-02,1.199999999999998401e+00,1.198626239999998511e+00
-8.585858585858580083e-02,1.187044770795373738e+00,1.000000000000000021e-02,1.199999999999998845e+00,1.198626239999998955e+00
-7.575757575757574580e-02,1.192623359939435357e+00,1.000000000000000021e-02,1.199999999999998845e+00,1.198626239999998955e+00
-6.565656565656563526e-02,1.193367781430316965e+00,1.000000000000000021e-02,1.199999999999999067e+00,1.198626239999999177e+00
-5.555555555555552472e-02,1.195461301557367184e+00,1.000000000000000021e-02,1.199999999999999512e+00,1.198626239999999621e+00
-4.545454545454541417e-02,1.190524310068733937e+00,1.000000000000000021e-02,1.199999999999999734e+00,1.198626239999999843e+00
-3.535353535353530363e-02,1.200489312827608401e+00,1.000000000000000021e-02,1.199999999999999734e+00,1.198626239999999843e+00
-2.525252525252519309e-02,1.191421890398552952e+00,1.000000000000000021e-02,1.199999999999999956e+00,1.198626240000000065e+00
-1.515151515151513806e-02,1.198750540238217477e+00,1.000000000000000021e-02,1.199999999999999956e+00,1.198626240000000065e+00
-5.050505050505027516e-03,1.216855799511042724e+00,1.000000000000000021e-02,1.199999999999999956e+00,1.198626240000000065e+00
5.050505050505083027e-03,1.194769482215991996e+00,1.000000000000000021e-02,1.199999999999999956e+00,1.198626240000000065e+00
1.515151515151524908e-02,1.190000643181335693e+00,1.000000000000000021e-02,1.199999999999999956e+00,1.198626240000000065e+00
2.525252525252530411e-02,1.199865298747882170e+00,1.000000000000000021e-02,1.199999999999999956e+00,1.198626240000000065e+00
3.535353535353535914e-02,1.209941358395224986e+00,1.000000000000000021e-02,1.199999999999999734e+00,1.198626239999999843e+00
4.545454545454552520e-02,1.183439699817728341e+00,1.000000000000000021e-02,1.199999999999999734e+00,1.198626239999999843e+00
5.555555555555558023e-02,1.201231759899155538e+00,1.000000000000000021e-02,1.199999999999999512e+00,1.198626239999999621e+00
6.565656565656574628e-02,1.207146952964242237e+00,1.000000000000000021e-02,1.199999999999999067e+00,1.198626239999999177e+00
7.575757575757580131e-02,1.204585635764475970e+00,1.000000000000000021e-02,1.199999999999998845e+00,1.198626239999998955e+00
8.585858585858585634e-02,1.212446866255156852e+00,1.000000000000000021e-02,1.199999999999998845e+00,1.198626239999998955e+00
9.595959595959602240e-02,1.184940395887740250e+00,1.000000000000000021e-02,1.199999999999998401e+00,1.198626239999998511e+00
1.060606060606060774e-01,1.208708639063547086e+00,1.000000000000000021e-02,1.199999999999998179e+00,1.198626239999998289e+00
1.161616161616162435e-01,1.196157251047482495e+00,1.000000000000000021e-02,1.199999999999997735e+00,1.198626239999997845e+00
1.262626262626262985e-01,1.213063007058826193e+00,1.000000000000000021e-02,1.199999999999997513e+00,1.198626239999997622e+00
1.363636363636364646e-01,1.195219580947604943e+00,1.000000000000000021e-02,1.199999999999997069e+00,1.198626239999997178e+00
1.464646464646465196e-01,1.198552541859118747e+00,1.000000000000000021e-02,1.199999999999996403e+00,1.198626239999996512e+00
1.565656565656565746e-01,1.205395702575673633e+00,1.000000000000000021e-02,1.199999999999995959e+00,1.198626239999996068e+00
1.666666666666667407e-01,1.193175938046717288e+00,1.000000000000000021e-02,1.199999999999995737e+00,1.198626239999995846e+00
1.767676767676767957e-01,1.205147340459479688e+00,1.000000000000000021e-02,1.199999999999995071e+00,1.198626239999995180e+00
1.868686868686869618e-01,1.204359661759095257e+00,1.000000000000000021e-02,1.199999999999994627e+00,1.198626239999994736e+00
1.969696969696970168e-01,1.195106135891267574e+00,1.000000000000000021e-02,1.199999999999993738e+00,1.198626239999993848e+00
2.070707070707071829e-01,1.189850535634151996e+00,1.000000000000000021e-02,1.199999999999993072e+00,1.198626239999993182e+00
2.171717171717172379e-01,1.192997728592143147e+00,1.000000000000000021e-02,1.199999999999992406e+00,1.198626239999992515e+00
2.272727272727272929e-01,1.193637021597594661e+00,1.000000000000000021e-02,1.199999999999991962e+00,1.198626239999992071e+00
2.373737373737374590e-01,1.198526948535678871e+00,1.000000000000000021e-02,1.199999999999990852e+00,1.198626239999990961e+00
2.474747474747475140e-01,1.206017444088580470e+00,1.000000000000000021e-02,1.199999999999990186e+00,1.198626239999990295e+00
2.575757575757576801e-01,1.190783519962736348e+00,1.000000000000000021e-02,1.199999999999989297e+00,1.198626239999989407e+00
2.676767676767677351e-01,1.188425287797171714e+00,1.000000000000000021e-02,1.199999999999988409e+00,1.198626239999988519e+00
2.777777777777777901e-01,1.199858741819331609e+00,1.000000000000000021e-02,1.199999999999987965e+00,1.198626239999988075e+00
2.878787878787879562e-01,1.192984924811890668e+00,1.000000000000000021e-02,1.199999999999986855e+00,1.198626239999986964e+00
2.979797979797980112e-01,1.200796446787957050e+00,1.000000000000000021e-02,1.199999999999986189e+00,1.198626239999986298e+00
3.080808080808081773e-01,1.205247846692526048e+00,1.000000000000000021e-02,1.199999999999984857e+00,1.198626239999984966e+00
3.181818181818182323e-01,1.190957912320028012e+00,1.000000000000000021e-02,1.199999999999983968e+00,1.198626239999984078e+00
3.282828282828283983e-01,1.206519608882270278e+00,1.000000000000000021e-02,1.199999999999982858e+00,1.198626239999982968e+00
3.383838383838384534e-01,1.197902193356205958e+00,1.000000000000000021e-02,1.199999999999981748e+00,1.198626239999981857e+00
3.484848484848485084e-01,1.200280804223601061e+00,1.000000000000000021e-02,1.199999999999980860e+00,1.198626239999980969e+00
3.585858585858586745e-01,1.196407546628878382e+00,1.000000000000000021e-02,1.199999999999979750e+00,1.198626239999979859e+00
3.686868686868687295e-01,1.187847225763893677e+00,1.000000000000000021e-02,1.199999999999978639e+00,1.198626239999978749e+00
3.787878787878788955e-01,1.203976462956012794e+00,1.000000000000000021e-02,1.199999999999977307e+00,1.198626239999977416e+00
3.888888888888889506e-01,1.199407964633488088e+00,1.000000000000000021e-02,1.199999999999975975e+00,1.198626239999976084e+00
3.989898989898991166e-01,1.210098526744229908e+00,1.000000000000000021e-02,1.199999999999974643e+00,1.198626239999974752e+00
4.090909090909091717e-01,1.216194784958042563e+00,1.000000000000000021e-02,1.199999999999973754e+00,1.198626239999973864e+00
4.191919191919192267e-01,1.201783896636059445e+00,1.000000000000000021e-02,1.199999999999971978e+00,1.198626239999972087e+00
4.292929292929293927e-01,1.174861234309316993e+00,1.000000000000000021e-02,1.199999999999970646e+00,1.198626239999970755e+00
4.393939393939394478e-01,1.192932489763385728e+00,1.000000000000000021e-02,1.199999999999969535e+00,1.198626239999969645e+00
4.494949494949496138e-01,1.208439255993928541e+00,1.000000000000000021e-02,1.199999999999967981e+00,1.198626239999968091e+00
4.595959595959596689e-01,1.198493715086132338e+00,1.000000000000000021e-02,1.199999999999966649e+00,1.198626239999966758e+00
4.696969696969697239e-01,1.177367869675466805e+00,1.000000000000000021e-02,1.199999999999965095e+00,1.198626239999965204e+00
4.797979797979798899e-01,1.211533939707550189e+00,1.000000000000000021e-02,1.199999999999963762e+00,1.198626239999963872e+00
4.898989898989899450e-01,1.203350034749498754e+00,1.000000000000000021e-02,1.199999999999961764e+00,1.198626239999961873e+00
5.000000000000000000e-01,1.188843985633272649e+00,1.000000000000000021e-02,1.199999999999960210e+00,1.198626239999960319e+00
